incl0801.srt.bam	incl0802.srt.bam	incl1601.srt.bam	incl1602.srt.bam	incl3201.srt.bam	incl3202.srt.bam	inclbl01.srt.bam	inclbl02.srt.bam	ivcl0801.srt.bam	ivcl0802.srt.bam	ivcl1601.srt.bam	ivcl1602.srt.bam	ivcl3201.srt.bam	ivcl3202.srt.bam
rna-NC_001941.1:15371..15436	12	11	11	10	70	370	512	259	1	4	11	12	2	32
rna-NC_001941.1:15302..15371	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CYTB	137419	114174	78820	75804	32586	208319	525901	348939	38868	37623	59055	34311	16659	68608
rna-NC_001941.1:14086..14154	1	0	0	0	2	13	14	10	0	0	0	0	0	0
ND6	1693	844	850	872	4988	16219	30814	12908	720	481	864	669	394	749
ND5	39111	32594	27642	22691	38311	198955	117154	136579	32827	30478	46825	29963	21124	35086
rna-NC_001941.1:11683..11753	0	0	0	0	0	1	0	1	0	0	0	0	0	0
rna-NC_001941.1:11622..11681	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rna-NC_001941.1:11553..11621	0	0	1	0	0	0	0	0	0	0	0	0	0	0
ND4	719	619	493	270	179	1367	2028	1787	2075	441	3425	4986	785	934
ND4L	3	1	0	3	2	18	20	25	3	4	7	26	3	7
rna-NC_001941.1:9816..9884	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ND3	0	2	1	2	1	9	8	7	6	2	12	23	2	12
rna-NC_001941.1:9400..9468	0	0	0	0	0	0	0	0	0	0	0	0	0	0
COX3	429	354	149	106	1980	7427	10566	8064	731	57	1075	159	40	65
ATP6	93418	69896	41945	49589	41848	211994	500403	263369	25847	25286	32267	17832	16454	34782
ATP8	213	478	59	136	216	822	2016	1604	151	965	191	31	21	70
rna-NC_001941.1:7706..7773	0	0	0	0	0	1	0	0	0	0	0	0	0	0
COX2	20	16	19	12	405	2084	4579	3055	82	22	121	591	18	12
rna-NC_001941.1:6950..7017	0	0	0	1	0	0	0	0	0	0	0	0	0	0
rna-NC_001941.1:6874..6944	3	0	0	1	33	91	129	71	0	1	0	0	1	2
COX1	1191	787	608	599	10567	29538	61141	36687	1099	895	1119	236	640	658
rna-NC_001941.1:5263..5330	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rna-NC_001941.1:5195..5262	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rna-NC_001941.1:5090..5162	0	0	0	0	0	0	0	1	0	0	0	0	0	0
rna-NC_001941.1:5020..5088	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rna-NC_001941.1:4952..5018	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ND2	4	4	8	6	19	116	105	68	34	12	38	64	1	46
rna-NC_001941.1:3841..3909	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rna-NC_001941.1:3767..3838	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rna-NC_001941.1:3701..3769	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ND1	279	94	151	144	256	962	1196	905	141	98	459	327	97	74
rna-NC_001941.1:2668..2742	0	0	0	0	0	1	0	1	0	1	2	0	0	0
rna-NC_001941.1:1094..2667	20	5	6	12	173	535	281	308	6	6	7	10	2	11
rna-NC_001941.1:1027..1093	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rna-NC_001941.1:69..1026	3	5	10	7	22	65	38	66	17	11	20	83	6	57
rna-NC_001941.1:1..68	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC105612255	370	487	284	229	78	102	352	68	3	21	112	186	69	156
LOC101107265	510	288	573	322	31	99	470	124	85	154	154	208	255	137
PTDSS2	0	0	0	3	3	46	0	9	2	3	3	8	2	27
LOC105606144	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC105606142	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC105606141	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC101106755	0	0	0	0	0	0	0	0	0	0	5	0	13	16
LOC101106506	29	229	0	50	5	411	0	69	932	1022	517	180	787	126
LOC101106245	3	13	0	0	6	12	6	2	0	2	11	8	0	0
LOC105606140	0	0	0	0	4	0	0	0	0	0	0	0	0	0
LOC105606139	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC101105991	7	5	6	9	0	3	9	0	5	0	1	4	3	2
LOC101105734	23	5	6	12	0	3	10	0	0	0	0	0	0	2
LOC101105485	0	16	6	0	0	28	0	5	4	0	1	3	0	0
LOC105606138	17	0	0	0	0	14	0	0	33	63	64	18	32	2
LOC105606137	34	18	32	37	14	44	48	47	12	4	41	22	10	6
LOC105606136	0	0	0	0	0	0	0	0	105	61	19	36	121	207
LOC105606135	1	0	0	0	0	0	0	0	4	2	2	0	0	10
LOC101105230	0	0	0	0	0	0	0	0	0	0	4	0	0	0
LOC105606134	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC101104976	0	2	4	0	0	0	0	0	13	12	9	10	28	7
LOC105606132	0	0	0	0	0	0	0	0	0	1	0	0	0	0
LOC106992043	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC106992042	0	0	0	0	0	1	0	0	0	0	0	0	0	0
LOC105606130	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC105606129	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC105606131	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC101104218	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC105601936	0	0	0	0	0	0	0	0	0	0	2	0	0	0
LOC101103959	1	97	1	8	6	13	18	55	18	2	33	2	16	4
LOC106992041	4	3	0	4	0	0	1	0	9	16	10	10	3	8
LOC105606125	0	0	0	0	0	0	0	0	0	0	2	0	0	0
