ID	incl0801	incl0802	ivcl0801	ivcl0802	incl1601	incl1602	ivcl1601	ivcl1602	incl3201	incl3202	ivcl3201	ivcl3202
rna-NC_001941.1:15371..15436	6.420367955	5.004684284	0.374579877	1.467865512	5.727211737	6.490865546	3.279736793	4.224031808	323.1823869	225.9294029	0.802680672	13.06752046
rna-NC_001941.1:15302..15371	0	0	0	0	0	0	0	0	0	0	0	0
CYTB	4256.61666	3007.393808	842.8993529	799.3165076	2375.888574	2848.615416	1019.393981	699.2273286	8710.032622	7364.427599	387.0800803	1622.023172
rna-NC_001941.1:14086..14154	0.51176846	0	0	0	0	0	0	0	8.83231368	7.592927056	0	0
ND6	113.225864	47.999472	33.71218889	22.06385348	55.31965882	70.75043445	32.20105215	29.43622166	2878.631689	1237.955739	19.76601155	38.23270636
ND5	758.4231526	537.4717613	445.6661275	405.3654496	521.6197259	533.814343	506.0088149	382.2656002	6410.724626	4403.113478	307.2719798	519.2913152
rna-NC_001941.1:11683..11753	0	0	0	0	0	0	0	0	0	0.567618599	0	0
rna-NC_001941.1:11622..11681	0	0	0	0	0	0	0	0	0	0	0	0
rna-NC_001941.1:11553..11621	0	0	0	0	0.498018412	0	0	0	0	0	0	0
ND4	18.42477872	13.48867738	37.2269333	7.751032945	12.2939712	8.393847897	48.91044347	84.06068525	39.58196889	39.97921506	15.08958114	18.26773928
ND4L	0.356687109	0.101104733	0.249719918	0.326192336	0	0.43272437	0.463801163	2.033793093	2.051951663	2.442480032	0.267560224	0.635226689
rna-NC_001941.1:9816..9884	0	0	0	0	0	0	0	0	0	0	0	0
ND3	0	0.173572865	0.428709917	0.139998734	0.09931581	0.247628397	0.682488581	1.544335329	0.880678676	1.04828984	0.153112498	0.934743155
rna-NC_001941.1:9400..9468	0	0	0	0	0	0	0	0	0	0	0	0
COX3	19.3225232	13.55860895	23.05099582	1.760876931	6.530774608	5.792104	26.98252846	4.711627317	769.5603922	381.779256	1.351452152	2.234520998
ATP6	4858.289595	3091.081703	941.0847726	901.9460693	2122.779643	3128.687052	935.1452174	610.1268684	18780.12647	12582.55279	641.8868288	1380.612886
ATP8	37.42020427	71.41012203	18.57245298	116.2790478	10.08673112	28.9860742	18.69939485	3.583071758	327.4547341	164.8127198	2.767451273	9.386185408
rna-NC_001941.1:7706..7773	0	0	0	0	0	0	0	0	0	0.592660596	0	0
COX2	1.032515314	0.702411829	2.963781128	0.778998802	0.954535289	0.751573905	3.48112414	20.07341432	180.4232498	122.7881848	0.697064794	0.472837912
rna-NC_001941.1:6950..7017	0	0	0	0	0	0.629995774	0	0	0	0	0	0
rna-NC_001941.1:6874..6944	1.492057342	0	0	0.341123675	0	0.603376234	0	0	141.6280158	51.6532925	0.373076932	0.759204534
COX1	27.22111345	15.29587003	17.58561603	14.03022909	13.52289218	16.60905362	14.2525261	3.548733519	2084.091601	770.4909971	10.97256686	11.4784846
rna-NC_001941.1:5263..5330	0	0	0	0	0	0	0	0	0	0	0	0
rna-NC_001941.1:5195..5262	0	0	0	0	0	0	0	0	0	0	0	0
rna-NC_001941.1:5090..5162	0	0	0	0	0	0	0	0	0	0	0	0
rna-NC_001941.1:5020..5088	0	0	0	0	0	0	0	0	0	0	0	0
rna-NC_001941.1:4952..5018	0	0	0	0	0	0	0	0	0	0	0	0
ND2	0.135554794	0.115271039	0.806676817	0.278922621	0.263825493	0.246677808	0.717639145	1.426928212	5.556220362	4.486474838	0.025420789	1.189809025
rna-NC_001941.1:3841..3909	0	0	0	0	0	0	0	0	0	0	0	0
rna-NC_001941.1:3767..3838	0	0	0	0	0	0	0	0	0	0	0	0
rna-NC_001941.1:3701..3769	0	0	0	0	0	0	0	0	0	0	0	0
ND1	10.31628757	2.955646007	3.650094588	2.485380663	5.433354799	6.459600644	9.45800537	7.954891316	81.68271667	40.59631994	2.690451133	2.088408702
rna-NC_001941.1:2668..2742	0	0	0	0.322930413	0	0	0.524757887	0	0	0.537345607	0	0
rna-NC_001941.1:1094..2667	0.448691534	0.095387883	0.094239918	0.092324451	0.130990866	0.326605179	0.087515213	0.147599587	33.49152745	13.69821632	0.033657512	0.188354111
rna-NC_001941.1:1027..1093	0	0	0	0	0	0	0	0	0	0	0	0
rna-NC_001941.1:69..1026	0.11058045	0.15672289	0.438704198	0.278097694	0.358698021	0.31302504	0.41082298	2.012808476	6.997626392	2.734404837	0.165898511	1.603601644
rna-NC_001941.1:1..68	0	0	0	0	0	0	0	0	0	0	0	0
LOC105612255	1.446092838	1.618559765	0.008208834	0.056293901	1.0801515	1.085810093	0.243938365	0.47827167	2.630631557	0.454974421	0.202291521	0.465354146
LOC101107265	12.09478315	5.807988209	1.411278111	2.504933691	13.22374342	9.264195741	2.03524298	3.245327326	6.343962042	2.679510498	4.536304806	2.479779215
PTDSS2	0	0	0.025792668	0.037902631	0	0.067041804	0.030795651	0.096952217	0.476862006	0.967053909	0.027635328	0.379602267
LOC105606144	0	0	0	0	0	0	0	0	0	0	0	0
LOC105606142	0	0	0	0	0	0	0	0	0	0	0	0
LOC105606141	0	0	0	0	0	0	0	0	0	0	0	0
LOC101106755	0	0	0	0	0	0	0.033638326	0	0	0	0.117726499	0.147428436
LOC101106506	0.537558367	3.609677799	12.09509573	12.99349928	0	1.124401906	5.340547786	2.195166137	0.799776436	8.694844271	10.94300249	1.782636158
LOC101106245	0.076322818	0.281243065	0	0.03489882	0	0	0.155952902	0.133903026	1.317211046	0.348422944	0	0
LOC105606140	0	0	0	0	0	0	0	0	1.653811788	0	0	0
LOC105606139	0	0	0	0	0	0	0	0	0	0	0	0
LOC101105991	0.852359194	0.51772596	0.426246066	0	0.710964216	1.329508322	0.067856623	0.320443792	0	0.416906074	0.274018574	0.185874213
LOC101105734	2.045784751	0.378187729	0	0	0.519344137	1.294903152	0	0	0	0.304540961	0	0.135777133
LOC101105485	0	0.532649325	0.109633135	0	0.228580513	0	0.021816431	0.077268875	0	1.251026358	0	0
LOC105606138	0.135969287	0	0.184787083	0.345605028	0	0	0.2852591	0.094717814	0	0.127794538	0.191988854	0.012209178
LOC105606137	1.933347516	0.870379876	0.47772506	0.15600503	1.770732131	2.552446645	1.299219406	0.823040014	6.869577307	2.855459747	0.426545285	0.260403488
LOC105606136	0	0	0.732253468	0.416757867	0	0	0.105469674	0.235926177	0	0	0.904119584	1.573769963
