fromNode	toNode	weight
CKS1B	PTTG1	0.105803305387115
CKS1B	LOC101112257	0.0984222986483614
CKS1B	MAGOH	0.124380938548382
CKS1B	BTG4	0.060225237160309
CKS1B	ARL6IP1	0.181734470964887
CKS1B	PCBP1	0.0688951305318604
CKS1B	OOEP	0.119948167792188
CKS1B	KNSTRN	0.164347575498915
CKS1B	H3F3B	0.156010116062128
CKS1B	LSM1	0.122880554178596
CKS1B	POLR2J	0.148143656275469
CKS1B	SKA1	0.0320265940452739
CKS1B	ARF1	0.140111530705231
CKS1B	NGDN	0.144033287855555
CKS1B	SWI5	0.125306706052057
CKS1B	NDC80	0.105747520570717
CKS1B	NSMCE4A	0.0396532491857454
CKS1B	CHP1	0.132995416373621
CKS1B	RNF2	0.106960732157829
CKS1B	YIPF5	0.172419117906427
CKS1B	RBM48	0.0989194836494262
CKS1B	GTF2A2	0.110629282942996
CKS1B	LOC106991190	0.135751769577665
CKS1B	LOC101116828	0.184448638306984
CKS1B	CCT3	0.080475326036887
CKS1B	CNEP1R1	0.15082218303108
CKS1B	SRP19	0.106016624632531
CKS1B	MRPL42	0.144062716223228
CKS1B	RBBP4	0.0375542967885901
CKS1B	ERGIC2	0.0871895857490544
CKS1B	MAPK6	0.143452495994713
CKS1B	DERL2	0.126731725148208
CKS1B	TAF11	0.103069461675972
CKS1B	IFT46	0.193142878849986
CKS1B	LOC105605459	0.120907521433533
CKS1B	STXBP3	0.142388130753476
CKS1B	SMIM8	0.101389497115789
CKS1B	CSTF1	0.148893174679078
CKS1B	C2H2orf66	0.183801696933975
CKS1B	CENPQ	0.191860296427907
CKS1B	C21H11orf98	0.0822545350557902
CKS1B	TRAPPC2	0.0666843822746383
CKS1B	UBE2W	0.182979586415109
CKS1B	C13H20orf27	0.136077951773296
CKS1B	SUMO1	0.0865219054052167
CKS1B	VPS72	0.0806853678407104
CKS1B	CEP57L1	0.142612396681253
CKS1B	PPP2R3C	0.18979161580358
CKS1B	KIF18A	0.219075730618899
CKS1B	GSTM3	0.149899132301364
CKS1B	NSDHL	0.138748387634195
CKS1B	PDE6D	0.15017900288387
CKS1B	C16H5orf28	0.123754305681631
CKS1B	IMMP2L	0.173965652360622
CKS1B	SFT2D1	0.073358350297185
CKS1B	CHIC2	0.151190406891179
CKS1B	POLB	0.0680614335567468
CKS1B	PPWD1	0.127936406103352
CKS1B	GTF2H3	0.185802969967793
CKS1B	POLR2C	0.072801785880805
CKS1B	KLF10	0.0773292152399895
CKS1B	MSH2	0.197507412736485
CKS1B	UTP18	0.0467342973169837
CKS1B	LOC105601852	0.100638429986178
CKS1B	CCNL1	0.0622910897611128
CKS1B	YAE1D1	0.0903756645865472
CKS1B	FBXO4	0.0515394435458683
CKS1B	FBXO5	0.170400890541856
CKS1B	MAD2L1BP	0.158993413200694
CKS1B	EFHD1	0.19551936027116
CKS1B	LOC101102473	0.0961252312597724
CKS1B	GIPC2	0.0884586578711578
CKS1B	PRPF18	0.176794612988169
CKS1B	LOC101104012	0.103277033307311
CKS1B	SPDL1	0.116166236017916
CKS1B	FBXO8	0.138080326056379
CKS1B	PDCD4	0.0882354213489112
CKS1B	API5	0.0259772002903513
CKS1B	LIN7C	0.0409517389724538
CKS1B	TRIM28	0.117600224430807
CKS1B	TMEM209	0.16567696244366
CKS1B	FOPNL	0.133091723776895
CKS1B	ANAPC10	0.0796365204101423
CKS1B	KLHDC3	0.108347634649271
CKS1B	ESD	0.0387948612278948
CKS1B	CCDC60	0.152421951359
CKS1B	EPSTI1	0.107872778737076
CKS1B	ZNF829	0.142594068668603
CKS1B	PRKRIP1	0.115721476427342
CKS1B	LOC101106086	0.101602204036023
CKS1B	TF	0.16862692033058
CKS1B	DDX25	0.0707082392184584
CKS1B	LOC101109476	0.210743481680043
CKS1B	SLC35A5	0.193897629802535
CKS1B	SLBP	0.0236785065480017
CKS1B	SCFD1	0.0988717602093549
CKS1B	PUDP	0.158391059089928
CKS1B	KAT7	0.126872327517249
CKS1B	BBIP1	0.135342899033105
CKS1B	CDC25C	0.181775408210869
CKS1B	ARL6IP6	0.123452195344244
CKS1B	CCNT1	0.123966635639533
CKS1B	LINS1	0.159214529824986
CKS1B	N4BP2L2	0.150665360409952
CKS1B	LOC101114490	0.0410986088590136
CKS1B	CHD4	0.11471136042577
CKS1B	CSNK2B	0.129685766951543
CKS1B	DNAJC7	0.093155238636659
CKS1B	LOC101113206	0.0761134994491015
CKS1B	STAM2	0.0655812576563593
CKS1B	GTF2B	0.135753463504967
CKS1B	DSN1	0.157616427365618
CKS1B	CRYAB	0.17398246085328
CKS1B	LOC106991221	0.0919698619618694
CKS1B	RRAS2	0.102095358569257
CKS1B	PRKAG1	0.0915078257124963
CKS1B	AP3M1	0.162820465961606
CKS1B	TUSC2	0.0851380819431046
CKS1B	CCNY	0.103029412703499
CKS1B	EFHB	0.105819326451167
CKS1B	CDC37L1	0.0800962596410505
CKS1B	GPX8	0.0496695778499523
CKS1B	SLC30A7	0.164074474985903
CKS1B	CD70	0.10540497814145
CKS1B	SRBD1	0.168047031544944
CKS1B	ARHGAP11A	0.0520757314357566
CKS1B	LOC101117055	0.0956084453254566
CKS1B	EHD1	0.167045691402133
CKS1B	TBC1D15	0.0200769289262389
CKS1B	LOC106991314	0.116465587050393
CKS1B	EXOSC2	0.0828777805809053
CKS1B	RNF141	0.112425608791254
CKS1B	LAMP1	0.108685417033767
CKS1B	BCAP29	0.139195323884702
CKS1B	ATG4A	0.170817106072013
CKS1B	TAF10	0.156636936922927
CKS1B	DCK	0.0599209674203767
CKS1B	LOC101104431	0.103427406506319
CKS1B	NPM3	0.0952807860757213
CKS1B	PRTFDC1	0.0751037678035176
CKS1B	ZFAND2B	0.0458364580666281
CKS1B	DDX4	0.065626864962046
CKS1B	HHLA2	0.179969210185379
CKS1B	SNRK	0.194854834819725
CKS1B	TMEM87A	0.0849734910866774
CKS1B	LOC101123603	0.0592516222285977
CKS1B	TRMT12	0.0894667112882801
CKS1B	VPS37A	0.133821892855923
CKS1B	KLF4	0.0984907093079642
CKS1B	TAZ	0.120636224068223
CKS1B	TIPIN	0.0889211026077705
CKS1B	SENP1	0.174507509353928
CKS1B	ABHD16A	0.0762155051190537
CKS1B	GID8	0.0579536141739108
CKS1B	LOC101107613	0.180591146501269
CKS1B	ALG6	0.0694666475506781
CKS1B	BLZF1	0.110888220574534
CKS1B	LOC106991292	0.0583711913107166
CKS1B	LOC105605452	0.125216057431993
CKS1B	TMEM138	0.101929007012008
CKS1B	LOC101119962	0.0625353275679802
CKS1B	KIN	0.0691778681514197
CKS1B	TBP	0.142845946052152
CKS1B	BLM	0.130783140107192
CKS1B	CD19	0.132355597295509
CKS1B	SLC38A2	0.116106041677842
CKS1B	ZC3HC1	0.0653289783288338
CKS1B	MCOLN1	0.0596462576602343
CKS1B	PEX3	0.090442945431085
CKS1B	MORN2	0.10803671460163
CKS1B	CASP8AP2	0.119062479339991
CKS1B	RHOG	0.0781493716409916
CKS1B	ITPK1	0.0934575770538469
CKS1B	SMIM10L1	0.0595909972539158
CKS1B	GTF2A1L	0.0586824704511796
CKS1B	ZNHIT6	0.131978231301999
CKS1B	POP4	0.143523564229023
CKS1B	TFB1M	0.0703406260002577
CKS1B	CDADC1	0.119574571647183
CKS1B	LOC105610956	0.109321084243947
CKS1B	NIF3L1	0.0878102359168023
CKS1B	PSMD3	0.0895494617944255
CKS1B	GDAP2	0.162382045618916
CKS1B	S100PBP	0.0884081467071161
CKS1B	B3GNT3	0.145287677986283
CKS1B	CARHSP1	0.0893887592169316
CKS1B	TAP1	0.0919192100932652
CKS1B	PIP4K2C	0.0696630022575135
CKS1B	TOB1	0.155061086730435
CKS1B	HSPA14	0.0902958321929037
CKS1B	GMEB1	0.101277736491011
CKS1B	C9H8orf76	0.156648798785372
CKS1B	RBBP8	0.103497030316915
CKS1B	RPL39	0.0242114649499335
CKS1B	CDK1	0.090136162225651
CKS1B	TK1	0.0559574947728916
CKS1B	HACE1	0.0587377865513795
CKS1B	MFSD14B	0.145666156425072
CKS1B	ASAH1	0.0262013436343793
CKS1B	RPF2	0.113951668614829
CKS1B	CEP295	0.0762213132912754
CKS1B	LOC105604776	0.0523499024146472
CKS1B	CHERP	0.0691125310768015
CKS1B	SSBP3	0.0609900590030215
CKS1B	BOD1L1	0.116171662295653
CKS1B	C15H11orf57	0.024131318363598
CKS1B	EGLN2	0.127045157573101
