Geneid	incl0801.srt.bam	incl0802.srt.bam	ivcl0801.srt.bam	ivcl0802.srt.bam	incl1601.srt.bam	incl1602.srt.bam	ivcl1601.srt.bam	ivcl1602.srt.bam	incl3201.srt.bam	incl3202.srt.bam	ivcl3201.srt.bam	ivcl3202.srt.bam
rna-NC_001941.1:15371..15436	12	11	1	4	11	10	11	12	70	370	2	32
rna-NC_001941.1:15302..15371	0	0	0	0	0	0	0	0	0	0	0	0
CYTB	137419	114174	38868	37623	78820	75804	59055	34311	32586	208319	16659	68608
rna-NC_001941.1:14086..14154	1	0	0	0	0	0	0	0	2	13	0	0
ND6	1693	844	720	481	850	872	864	669	4988	16219	394	749
ND5	39111	32594	32827	30478	27642	22691	46825	29963	38311	198955	21124	35086
rna-NC_001941.1:11683..11753	0	0	0	0	0	0	0	0	0	1	0	0
rna-NC_001941.1:11622..11681	0	0	0	0	0	0	0	0	0	0	0	0
rna-NC_001941.1:11553..11621	0	0	0	0	1	0	0	0	0	0	0	0
ND4	719	619	2075	441	493	270	3425	4986	179	1367	785	934
ND4L	3	1	3	4	0	3	7	26	2	18	3	7
rna-NC_001941.1:9816..9884	0	0	0	0	0	0	0	0	0	0	0	0
ND3	0	2	6	2	1	2	12	23	1	9	2	12
rna-NC_001941.1:9400..9468	0	0	0	0	0	0	0	0	0	0	0	0
COX3	429	354	731	57	149	106	1075	159	1980	7427	40	65
ATP6	93418	69896	25847	25286	41945	49589	32267	17832	41848	211994	16454	34782
ATP8	213	478	151	965	59	136	191	31	216	822	21	70
rna-NC_001941.1:7706..7773	0	0	0	0	0	0	0	0	0	1	0	0
COX2	20	16	82	22	19	12	121	591	405	2084	18	12
rna-NC_001941.1:6950..7017	0	0	0	0	0	1	0	0	0	0	0	0
rna-NC_001941.1:6874..6944	3	0	0	1	0	1	0	0	33	91	1	2
COX1	1191	787	1099	895	608	599	1119	236	10567	29538	640	658
rna-NC_001941.1:5263..5330	0	0	0	0	0	0	0	0	0	0	0	0
rna-NC_001941.1:5195..5262	0	0	0	0	0	0	0	0	0	0	0	0
rna-NC_001941.1:5090..5162	0	0	0	0	0	0	0	0	0	0	0	0
rna-NC_001941.1:5020..5088	0	0	0	0	0	0	0	0	0	0	0	0
rna-NC_001941.1:4952..5018	0	0	0	0	0	0	0	0	0	0	0	0
ND2	4	4	34	12	8	6	38	64	19	116	1	46
rna-NC_001941.1:3841..3909	0	0	0	0	0	0	0	0	0	0	0	0
rna-NC_001941.1:3767..3838	0	0	0	0	0	0	0	0	0	0	0	0
rna-NC_001941.1:3701..3769	0	0	0	0	0	0	0	0	0	0	0	0
ND1	279	94	141	98	151	144	459	327	256	962	97	74
rna-NC_001941.1:2668..2742	0	0	0	1	0	0	2	0	0	1	0	0
rna-NC_001941.1:1094..2667	20	5	6	6	6	12	7	10	173	535	2	11
rna-NC_001941.1:1027..1093	0	0	0	0	0	0	0	0	0	0	0	0
rna-NC_001941.1:69..1026	3	5	17	11	10	7	20	83	22	65	6	57
rna-NC_001941.1:1..68	0	0	0	0	0	0	0	0	0	0	0	0
LOC105612255	370	487	3	21	284	229	112	186	78	102	69	156
LOC101107265	510	288	85	154	573	322	154	208	31	99	255	137
PTDSS2	0	0	2	3	0	3	3	8	3	46	2	27
LOC105606144	0	0	0	0	0	0	0	0	0	0	0	0
LOC105606142	0	0	0	0	0	0	0	0	0	0	0	0
LOC105606141	0	0	0	0	0	0	0	0	0	0	0	0
LOC101106755	0	0	0	0	0	0	5	0	0	0	13	16
LOC101106506	29	229	932	1022	0	50	517	180	5	411	787	126
LOC101106245	3	13	0	2	0	0	11	8	6	12	0	0
LOC105606140	0	0	0	0	0	0	0	0	4	0	0	0
LOC105606139	0	0	0	0	0	0	0	0	0	0	0	0
LOC101105991	7	5	5	0	6	9	1	4	0	3	3	2
LOC101105734	23	5	0	0	6	12	0	0	0	3	0	2
LOC101105485	0	16	4	0	6	0	1	3	0	28	0	0
LOC105606138	17	0	33	63	0	0	64	18	0	14	32	2
LOC105606137	34	18	12	4	32	37	41	22	14	44	10	6
LOC105606136	0	0	105	61	0	0	19	36	0	0	121	207
LOC105606135	1	0	4	2	0	0	2	0	0	0	0	10
LOC101105230	0	0	0	0	0	0	4	0	0	0	0	0
LOC105606134	0	0	0	0	0	0	0	0	0	0	0	0
LOC101104976	0	2	13	12	4	0	9	10	0	0	28	7
LOC105606132	0	0	0	1	0	0	0	0	0	0	0	0
LOC106992043	0	0	0	0	0	0	0	0	0	0	0	0
LOC106992042	0	0	0	0	0	0	0	0	0	1	0	0
LOC105606130	0	0	0	0	0	0	0	0	0	0	0	0
LOC105606129	0	0	0	0	0	0	0	0	0	0	0	0
LOC105606131	0	0	0	0	0	0	0	0	0	0	0	0
LOC101104218	0	0	0	0	0	0	0	0	0	0	0	0
LOC105601936	0	0	0	0	0	0	2	0	0	0	0	0
LOC101103959	1	97	18	2	1	8	33	2	6	13	16	4
LOC106992041	4	3	9	16	0	4	10	10	0	0	3	8
LOC105606125	0	0	0	0	0	0	2	0	0	0	0	0
LOC101103708	0	0	0	0	0	0	0	0	0	0	0	0
LOC101103461	0	0	16	0	0	0	0	6	0	0	10	21
CYP17A1	0	0	0	0	0	2	0	0	14	276	0	2
LOC101102968	0	0	6	62	2	0	10	10	0	0	3	6
LOC101102711	0	0	0	0	0	0	2	0	0	0	0	0
LOC101102466	10	176	34	116	2	45	302	80	88	1240	48	52
LOC105606123	1	6	11	9	0	0	2	4	0	0	13	1
LOC101123541	0	30	3	19	0	0	40	4	0	13	33	24
ABTB1	8	36	50	0	10	14	32	41	4	322	138	10
LOC101123021	0	0	0	0	0	0	0	1	0	0	0	0
